@relation 'Master-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,6,7,5-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute PER numeric
@attribute last_year_wins numeric
@attribute continuity numeric
@attribute num_wins numeric

@data
154.6,19,0.362083,35
144.2,25,0.46283,50
142.6,28,0.471209,49
141.1,22,0.386972,32
120.3,26,0.321789,49
114.6,23,0.555534,45
111.2,33,0.251108,41
43.5,16,0.321463,31
237.3,34,0.858191,45
217,53,0.661702,51
215.9,56,0.659477,41
206.2,52,0.445615,50
199.9,31,0.775706,26
197.8,29,0.475483,19
197.4,53,0.792139,58
196.8,59,0.892591,50
188.9,44,0.833577,55
183.6,40,0.561753,53
182.2,45,0.744207,44
181.3,67,0.733039,56
178.7,19,0.437581,17
177.7,22,0.669512,23
176.7,50,0.735513,47
175.2,35,0.796092,36
173.5,45,0.611204,47
171.6,35,0.65247,40
169.8,49,0.818735,56
166.2,42,0.799822,52
162.1,28,0.376123,25
161.9,41,0.554903,43
161.3,55,0.707083,53
157.9,17,0.402398,15
157.5,42,0.299726,32
155.8,49,0.523862,46
153.1,32,0.394416,30
148.5,50,0.722978,48
146,15,0.424055,31
234.8,50,0.66091,49
212.8,58,0.619466,58
209.6,56,0.724304,58
205.2,44,0.652983,45
203.7,30,0.494629,29
194,50,0.382871,36
191.2,55,0.830574,61
187.9,53,0.751077,44
187.7,45,0.627124,28
186.7,52,0.826128,41
186.7,43,0.711392,44
182.8,26,0.427642,52
180,36,0.745086,49
174.7,31,0.900798,39
172.5,47,0.785838,50
168.1,15,0.292932,21
168.1,17,0.63346,21
167.6,46,0.812907,44
163.9,40,0.507764,27
161.9,41,0.580935,42
155.2,53,0.622327,57
148.9,56,0.390676,43
144.9,51,0.287515,36
143.4,32,0.618892,50
133.7,48,0.617947,30
126.4,19,0.320325,37
123.9,25,0.477805,33
109.4,47,0.558968,42
220.8,58,0.879797,50
220.5,45,0.477282,40
213.7,33,0.606865,35
213.4,50,0.753613,50
204.5,49,0.863044,50
202.8,42,0.614223,24
201.1,37,0.476535,37
199.9,58,0.739472,60
196.8,43,0.426804,48
191.4,39,0.675798,27
189.9,61,0.990955,59
189.3,50,0.718547,51
188.2,44,0.607602,42
186.5,29,0.365051,17
184.2,28,0.691174,43
181.5,44,0.677104,47
178.5,36,0.551631,25
177.4,23,0.64377,28
173.7,41,0.621037,42
172.3,21,0.857033,38
168,27,0.09904,17
165,52,0.791001,49
154.3,30,0.822215,37
154.1,57,0.623577,60
144.7,49,0.570823,44
143.9,42,0.725158,48
137.8,36,0.6519,44
119,21,0.504187,30
220,24,0.358689,33
215,60,0.574914,52
208.7,48,0.739654,61
206.5,37,0.622383,25
205,50,0.480107,41
200.2,27,0.480376,28
195.5,38,0.522236,37
192.1,59,0.723831,55
191.7,51,0.456286,58
188.6,30,0.384126,23
179,50,0.594675,54
177.5,47,0.825996,41
175.9,50,0.714029,56
173.2,43,0.581738,45
171.8,47,0.376443,42
167.8,28,0.639045,50
164.6,37,0.479258,39
164.1,60,0.646499,57
162.9,42,0.371382,21
160.9,25,0.564934,42
160.6,44,0.522612,29
158.8,35,0.234167,28
157.7,48,0.64686,33
151,17,0.394162,43
149,17,0.346026,35
148.9,49,0.929507,47
143.9,42,0.264919,41
129.9,44,0.256524,36
109.1,40,0.558445,37
217.2,37,0.798984,52
208.8,56,0.355965,34
201.5,37,0.470772,34
199.9,52,0.462358,58
199,58,0.890442,44
197,61,0.824202,44
189.3,55,0.560208,50
180.6,33,0.518379,43
178.9,57,0.724639,59
172.5,25,0.842907,45
171.7,45,0.16437,51
170.5,42,0.385843,59
169.6,42,0.499172,26
169.5,47,0.467861,42
165.8,41,0.602962,30
165.6,43,0.785859,49
164.6,28,0.59031,37
164.6,50,0.828465,45
154.7,41,0.414751,18
152.7,41,0.491128,27
147.5,36,0.368232,45
146.4,21,0.06281,36
142.4,54,0.639609,54
129.8,23,0.286565,47
110.6,28,0.125447,13
110.4,35,0.423791,42
107.7,29,0.593003,62
101.7,39,0.246321,33
98,33,0.324619,33
231.4,33,0.349009,23
226,44,0.752734,41
