@relation lockout_fixed_with_age_postsub

@attribute ﻿PER numeric
@attribute last_year_wins numeric
@attribute continuity numeric
@attribute avg_age numeric
@attribute num_wins numeric

@data
179.8,41,0.702185,27.384615,27
153.6,24,0.392093,26.692308,15
161.5,39,0.56249,26.666667,27
182.3,34,0.467312,27.214286,46
157,46,0.557297,27.8,54
206.4,29,0.657566,23.8,26
176.1,50,0.603394,28.076923,55
166.7,49,0.626733,28.538462,37
158.8,24,0.644096,24.666667,40
151.8,59,0.594832,26.727273,59
200.7,62,0.792698,26.714286,50
195.7,36,0.639009,26.714286,32
123.5,32,0.452058,25.2,29
107.7,33,0.391646,25.818182,40
202.8,48,0.771448,25.666667,53
178.3,47,0.83252,25.133333,53
186.1,53,0.374883,28.538462,42
178.1,66,0.743643,26.333333,61
161.9,19,0.477861,26.846154,29
132.2,54,0.669248,26.5,53
253.6,54,0.610137,28.764706,50
183.8,19,0.241047,26.538462,26
169.8,65,0.848328,26.538462,57
144.3,43,0.781575,25.75,47
186.5,54,0.674919,24.142857,50
113.4,41,0.416987,25.375,41
98.9,17,0.487551,25.75,25
172.7,43,0.812322,26.083333,19
121.1,45,0.483775,27.090909,66
150.5,38,0.386103,26.571429,17
185.8,15,0.491687,27.125,43
217.4,48,0.544588,25.4375,29
180.7,59,0.72878,27.166667,39
175.7,52,0.582876,27.153846,59
171.4,57,0.728841,25.909091,65
171,41,0.811418,24.25,54
170.6,50,0.533318,28.076923,54
204.9,41,0.619507,27.214286,33
191.5,23,0.362612,27.9375,19
147.4,22,0.612154,26,24
128.5,37,0.698659,23.1,47
170.3,54,0.90189,24.846154,48
173,56,0.848425,26.615385,49
140.7,33,0.521865,23.818182,41
135.1,22,0.396408,24.363636,24
212.6,55,0.656824,27.571429,53
209.4,23,0.489365,25.933333,32
198.3,36,0.65311,26.133333,36
190.4,66,0.876128,27.785714,62
181,26,0.50127,26.5,34
172.6,40,0.825437,25.615385,41
135.6,51,0.71747,29.6,50
219.5,56,0.856733,29.6,54
156.5,55,0.515366,29,46
105.5,34,0.305127,26.75,34
198.2,24,0.391169,24.75,66
197.4,44,0.495747,27.933333,15
141.8,40,0.746286,27.125,23
182.6,33,0.852652,25.8,23
182.3,31,0.719055,25.875,20
178.7,49,0.71091,26,33
191.8,42,0.671316,25.714286,57
199,40,0.646382,26,52
202.1,53,0.724604,28,59
162.8,32,0.3044,26.714286,22
146.5,28,0.581209,24.714286,26
207.5,47,0.832652,25.642857,41
207.1,22,0.429106,25.571429,22
190.8,67,0.667124,28.066667,51
144.1,45,0.632744,25.833333,50
123.7,41,0.480051,26.714286,34
175.4,52,0.792566,27.307692,55
172.9,32,0.573069,24.5,41
154.7,42,0.598725,24,48
163.2,51,0.794126,25.071429,54
203.3,58,0.869228,29.214286,56
156.2,35,0.527978,25.076923,40
184.9,61,0.674065,29.142857,55
178.1,50,0.655528,27.466667,45
200.4,30,0.657348,24.352941,37
196,41,0.806535,26.25,43
131.2,35,0.547663,26.909091,36
149.5,33,0.740025,27.142857,38
186.7,49,0.433577,26.928571,22
158.9,34,0.638674,28.833333,52
149.9,27,0.502459,26.615385,47
212.5,60,0.725722,27.3125,67
152,33,0.587718,23.916667,24
177.1,40,0.466092,27.285714,28
159.4,44,0.71499,26.454545,33
190.6,54,0.867048,27.076923,61
186.8,41,0.69654,25.133333,51
168.9,47,0.869985,27.266667,40
133.5,35,0.663181,25.636364,31
189.8,52,0.935889,27.375,44
178,41,0.729507,25.625,49
171.6,26,0.838115,23.076923,30
142.3,49,0.789787,28,41
187.7,34,0.495061,24.6,42
183.9,45,0.822912,24.75,42
123.4,33,0.604345,26.1,32
179.6,42,0.867785,26.214286,41
171.1,38,0.537373,25.642857,35
154.2,21,0.394085,23.583333,32
114.2,44,0.469456,27,45
206.4,63,0.793999,29.4,58
183.4,41,0.370813,27.285714,35
177.9,64,0.742647,27.538462,53
165.3,36,0.656514,27.307692,40
164.9,23,0.702266,25.857143,33
173.7,50,0.891113,26.692308,50
169.4,38,0.486306,25.230769,39
180.8,52,0.581072,26,35
153.9,54,0.893816,28.076923,64
231.4,33,0.349009,26.384615,23
202.1,27,0.489746,25.866667,21
142.6,51,0.461189,30.25,34
202.6,59,0.816672,28.4,63
197.3,34,0.501148,26.2,45
186.6,37,0.531834,26.1875,47
162.5,45,0.433272,25,33
193.8,44,0.49561,28.857143,33
193.3,26,0.654441,25.8125,41
186.7,42,0.519797,26.6,49
169,33,0.445859,26.25,27
176.3,42,0.710574,26.428571,50
154.1,30,0.520808,27.916667,40
150.1,58,0.698364,26.666667,60
172.5,47,0.777485,26.066667,41
198.8,45,0.582317,25.666667,49
176.7,49,0.91221,27.666667,44
135.3,43,0.636636,25.909091,38
128,34,0.724492,25.777778,34
165.4,13,0.417307,26.928571,26
226,44,0.752734,27.105263,41
194.6,45,0.688592,25.5,42
172.5,36,0.677967,27,36
170.3,59,0.474416,26.666667,52
168.8,62,0.492541,25.545455,54
134.5,50,0.286143,26.2,44
107.7,29,0.593003,22.125,62
170.5,42,0.385843,26.75,59
154.7,41,0.414751,29.692308,18
129.8,23,0.286565,25.909091,47
169.6,42,0.499172,25.5,26
110.6,28,0.125447,25.5,13
171.7,45,0.16437,28.714286,51
