@relation 'Master-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7'

@attribute short_name {PHO,DAL,BOS,SAC,CLE,MIL,DET,CHI,DEN,WSB,HOU,UTA,NYK,ATL,GSW,MIN,IND,SAS,MIA,LAL,ORL,POR,CHH,LAC,PHI,NJN,SEA,VAN,TOR,WAS,MEM,NOH,NOK,OKC,BRK,NOP,CHA,CHO}
@attribute predicting_year numeric
@attribute PER numeric
@attribute continuity numeric
@attribute product numeric
@attribute num_wins numeric

@data
MIL,1996,170.1,0.61124,103.971896,25
MIL,1997,113.2,0.470417,53.251167,33
MIL,1998,125.7,0.532967,66.994012,36
MIL,2000,158.7,0.315173,50.017918,42
MIL,2001,166.2,0.799822,132.930442,52
MIL,2002,186.7,0.826128,154.238107,41
MIL,2003,173.7,0.621037,107.874055,42
MIL,2004,143.9,0.264919,38.121801,41
MIL,2005,165.8,0.602962,99.971166,30
MIL,2006,154.1,0.520808,80.256502,40
MIL,2007,177.1,0.466092,82.544978,28
MIL,2008,146.5,0.581209,85.14717,26
MIL,2009,181,0.50127,90.729929,34
MIL,2010,182.3,0.467312,85.190976,46
MIL,2011,157,0.581174,91.244284,35
MIL,2013,185,0.434695,80.418598,38
MIL,2014,161,0.309614,49.847825,15
MIL,2015,209.8,0.556133,116.676731,41
MIL,2016,173.6,0.541977,94.087142,33
MIL,2017,184,0.627967,115.546016,42
MIL,2018,193.9,0.810564,157.168364,44
DET,1992,186,0.739207,137.492561,48
DET,1993,162.6,0.672241,109.306363,40
DET,1994,142.4,0.51529,73.377244,20
DET,1995,182.6,0.460376,84.064661,28
DET,1996,183.9,0.68935,126.77139,46
DET,1997,161.4,0.730849,117.95896,54
DET,1998,171.5,0.56468,96.842599,37
DET,2000,253,0.426951,108.018659,42
DET,2001,157.5,0.299726,47.206784,32
DET,2002,143.4,0.618892,88.749152,50
DET,2003,213.4,0.753613,160.820973,50
DET,2004,179,0.594675,106.446789,54
DET,2005,142.4,0.639609,91.080285,54
DET,2006,153.9,0.893816,137.558291,64
DET,2007,177.9,0.742647,132.116965,53
DET,2008,202.1,0.724604,146.442399,59
DET,2009,180.7,0.72878,131.690634,39
DET,2010,161.5,0.56249,90.842109,27
DET,2011,182.5,0.825661,150.683054,30
DET,2013,179.8,0.481916,86.648434,29
DET,2014,175.3,0.589675,103.369992,29
DET,2015,196.6,0.488714,96.081257,32
DET,2016,136.4,0.37654,51.360006,44
DET,2017,178.5,0.735056,131.207477,37
DET,2018,195.9,0.493399,96.656941,39
CHI,1992,182.6,0.966946,176.564365,67
CHI,1993,157.8,0.883908,139.480607,57
CHI,1994,193.1,0.663064,128.037663,55
CHI,1995,179.2,0.725366,129.985561,47
CHI,1996,208.3,0.649619,135.315617,72
CHI,1997,185.8,0.979111,181.918781,69
CHI,1998,215.6,0.882647,190.29877,62
CHI,2000,158.6,0.184914,29.3273,17
CHI,2001,157.9,0.402398,63.538703,15
CHI,2002,168.1,0.292932,49.241854,21
CHI,2003,119,0.504187,59.998252,30
CHI,2004,188.6,0.384126,72.446167,23
CHI,2005,129.8,0.286565,37.196142,47
CHI,2006,172.5,0.777485,134.11612,41
CHI,2007,178,0.729507,129.852266,49
CHI,2008,178.7,0.71091,127.039537,33
CHI,2009,140.7,0.521865,73.426383,41
CHI,2010,113.4,0.416987,47.286302,41
CHI,2011,117.3,0.49063,57.550909,62
CHI,2013,215.1,0.424776,91.369409,45
CHI,2014,152.2,0.559837,85.207252,48
CHI,2015,116.8,0.740513,86.491943,50
CHI,2016,179.4,0.922454,165.488296,42
CHI,2017,189.6,0.28159,53.389549,41
CHI,2018,158.5,0.363598,57.630213,27
DEN,1992,179.5,0.317561,57.002195,24
DEN,1993,162.8,0.639329,104.082805,36
DEN,1994,160.5,0.722973,116.037096,42
DEN,1995,154.3,0.980234,151.250066,41
DEN,1996,237,0.737739,174.844101,35
DEN,1997,163.1,0.509639,83.122158,21
DEN,1998,139.1,0.192622,26.793713,11
DEN,2000,250.5,0.406225,101.759261,35
DEN,2001,171.6,0.65247,111.963768,40
DEN,2002,163.9,0.507764,83.222557,27
DEN,2003,168,0.09904,16.638659,17
DEN,2004,151,0.394162,59.518399,43
DEN,2005,165.6,0.785859,130.138207,49
DEN,2006,176.7,0.91221,161.187572,44
DEN,2007,114.2,0.469456,53.61191,45
DEN,2008,144.1,0.632744,91.178396,50
DEN,2009,170.6,0.533318,90.984066,54
DEN,2010,132.2,0.669248,88.474581,53
DEN,2011,176.9,0.61282,108.40788,50
DEN,2013,214.9,0.494502,106.268487,57
DEN,2014,229.1,0.427652,97.975174,36
DEN,2015,163.7,0.601087,98.398007,30
DEN,2016,147.7,0.334944,49.471244,33
DEN,2017,173.4,0.765147,132.676552,40
DEN,2018,227.3,0.631235,143.47966,46
WSB,1992,178.9,0.557459,99.729478,25
WSB,1993,178.7,0.609238,108.870796,22
WSB,1994,198.9,0.642322,127.757876,24
WSB,1995,188.3,0.597292,112.470021,21
WSB,1996,185.1,0.55251,102.269631,39
WSB,1997,304.6,0.535335,163.063152,44
HOU,1992,177.2,0.863252,152.96826,42
HOU,1993,155.3,0.779868,121.113483,55
HOU,1994,168.1,0.877419,147.494083,58
HOU,1995,190.8,0.734411,140.125537,47
HOU,1996,159.4,0.674685,107.544782,48
HOU,1997,232.8,0.382815,89.119341,57
HOU,1998,197,0.852282,167.899456,41
HOU,2000,178.1,0.298293,53.125927,34
HOU,2001,237.3,0.858191,203.648738,45
HOU,2002,187.7,0.627124,117.711172,28
HOU,2003,184.2,0.691174,127.31421,43
HOU,2004,173.2,0.581738,100.756988,45
HOU,2005,171.7,0.16437,28.222315,51
HOU,2006,142.6,0.461189,65.765555,34
HOU,2007,158.9,0.638674,101.485264,52
HOU,2008,175.4,0.792566,139.016086,55
HOU,2009,212.6,0.656824,139.640822,53
HOU,2010,186.1,0.374883,69.765751,42
HOU,2011,122.4,0.385376,47.170024,43
HOU,2013,175.5,0.095051,16.681418,45
HOU,2014,142.1,0.685229,97.370992,54
HOU,2015,210.1,0.5606,117.781975,56
HOU,2016,153.4,0.686499,105.308944,41
HOU,2017,205.8,0.501839,103.278555,55
HOU,2018,182.2,0.66532,121.221326,65
UTA,1992,176.6,0.779212,137.60891,55
UTA,1993,159.2,0.714314,113.718793,47
UTA,1994,172.3,0.64904,111.829529,53
UTA,1995,220.6,0.653252,144.107398,60
UTA,1996,175.4,0.808659,141.838707,55
UTA,1997,182.6,0.827734,151.144181,64
UTA,1998,162.2,0.978232,158.669183,62
UTA,2000,168.5,0.48561,81.825244,55
UTA,2001,161.3,0.707083,114.052542,53
UTA,2002,187.9,0.751077,141.127413,44
UTA,2003,181.5,0.677104,122.894314,47
UTA,2004,171.8,0.376443,64.672923,42
UTA,2005,169.6,0.499172,84.659528,26
UTA,2006,193.3,0.654441,126.503456,41
UTA,2007,186.8,0.69654,130.113604,51
UTA,2008,163.2,0.794126,129.601366,54
UTA,2009,170.3,0.90189,153.591908,48
UTA,2010,202.8,0.771448,156.449689,53
UTA,2011,188,0.448064,84.236037,39
UTA,2013,185.6,0.565696,104.993203,43
UTA,2014,190.3,0.471123,89.654701,25
UTA,2015,179.3,0.564024,101.129573,38
UTA,2016,188.5,0.785915,148.144909,40
UTA,2017,183.5,0.758836,139.246476,51
UTA,2018,217.3,0.412881,89.719063,48
NYK,1992,175.8,0.670366,117.850317,51
NYK,1993,125.3,0.573333,71.838667,60
NYK,1994,167.7,0.956209,160.356308,57
NYK,1995,189.4,0.837342,158.592666,55
NYK,1996,159.1,0.720132,114.573019,47
NYK,1997,120.2,0.398338,47.880277,57
NYK,1998,166.1,0.945569,157.059029,43
NYK,2000,185.4,0.601113,111.446314,50
NYK,2001,148.5,0.722978,107.36218,48
NYK,2002,133.7,0.617947,82.619535,30
NYK,2003,154.3,0.822215,126.867844,37
NYK,2004,164.6,0.479258,78.885888,39
NYK,2005,101.7,0.246321,25.05086,33
NYK,2006,231.4,0.349009,80.760716,23
NYK,2007,164.9,0.702266,115.803706,33
NYK,2008,182.6,0.852652,155.694335,23
NYK,2009,209.4,0.489365,102.472997,32
NYK,2010,123.5,0.452058,55.829154,29
NYK,2011,116.7,0.055203,6.44222,42
NYK,2013,217.3,0.465813,101.221167,54
NYK,2014,221.5,0.660854,146.379085,37
NYK,2015,203.4,0.327134,66.539085,17
